a,replicate,gen,num_dd
0.02,19,31,0
0.02,19,32,1
0.02,19,33,0
0.02,19,34,0
0.02,19,35,0
0.02,19,36,0
0.02,19,37,0
0.02,19,38,0
0.02,19,39,0
0.02,19,40,0
0.02,19,41,0
0.02,19,42,0
0.02,19,43,0
0.02,19,44,0
0.02,19,45,0
0.02,19,46,0
